,how,many,former,mvp,honorees,were,present,for,a,pregame,ceremony,?
on-field,0.16359537839889526,0.16253675520420074,0.2102333903312683,0.19453616440296173,0.3034566044807434,0.21759581565856934,0.17447669804096222,0.2638494372367859,0.2612239718437195,0.2645565867424011,0.0857558324933052,0.1776077151298523
introduction,0.24394704401493073,0.22555744647979736,0.05970122292637825,0.13460303843021393,0.18539802730083466,0.20354121923446655,0.21766774356365204,0.2745710015296936,0.21398471295833588,0.20899924635887146,0.18121707439422607,0.27021539211273193
of,0.2480744868516922,0.37253960967063904,0.30415382981300354,0.16760475933551788,0.3200485408306122,0.34038281440734863,0.3116828501224518,0.4185989499092102,0.5052502155303955,0.21911495923995972,0.2303226888179779,0.1826142966747284
39,0.07569380104541779,0.13422085344791412,-0.020301876589655876,0.09892193973064423,0.06384935230016708,0.12889371812343597,0.10035359859466553,0.053668420761823654,0.01989520527422428,0.11298695206642151,-0.0015176237793639302,0.04514012485742569
of,0.2480744868516922,0.37253960967063904,0.30415382981300354,0.16760475933551788,0.3200485408306122,0.34038281440734863,0.3116828501224518,0.4185989499092102,0.5052502155303955,0.21911495923995972,0.2303226888179779,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2251449078321457,0.19830666482448578,0.26582178473472595,0.3906462490558624,0.2829846143722534,0.4739971458911896,0.5829201340675354,0.314380943775177,0.27631378173828125,0.22068053483963013
43,-0.03132842853665352,-0.05990751087665558,0.04280249774456024,0.005789254792034626,0.009601949714124203,-0.06762740015983582,0.05466191843152046,-0.0399099700152874,-0.02674116939306259,0.01730179786682129,0.005764178931713104,0.06043510511517525
previous,0.22081239521503448,0.26836830377578735,0.2377597838640213,0.184461772441864,0.1916077584028244,0.31398919224739075,0.2691536247730255,0.27794817090034485,0.23051196336746216,0.27491551637649536,0.1749909222126007,0.16724538803100586
super,0.11920704692602158,0.17302978038787842,0.15229178965091705,0.3814384639263153,0.10732372105121613,0.18743500113487244,0.15244346857070923,0.22938419878482819,0.26005712151527405,0.32141372561454773,0.10298140347003937,0.166326642036438
bowl,0.1720007210969925,0.17932994663715363,0.12867674231529236,0.5169888734817505,0.235606849193573,0.17085392773151398,0.14665403962135315,0.24430087208747864,0.19533146917819977,0.3160421550273895,0.25571146607398987,0.21118052303791046
most,0.311336874961853,0.6236066222190857,0.18457147479057312,0.21474431455135345,0.20143917202949524,0.3543298542499542,0.18883636593818665,0.3906237483024597,0.3508910834789276,0.24010014533996582,0.10869953036308289,0.2107497900724411
valuable,0.21866503357887268,0.3279257118701935,0.1610986590385437,0.43153342604637146,0.2209029346704483,0.2523464262485504,0.18960775434970856,0.3648983836174011,0.23590178787708282,0.23362505435943604,0.08148038387298584,0.20664997398853302
players,0.19302120804786682,0.2428085058927536,0.13175907731056213,0.2781665623188019,0.1752680242061615,0.2492639571428299,0.1876813918352127,0.3009685277938843,0.20581431686878204,0.4801754355430603,0.10612627118825912,0.15925642848014832
.,0.3287222981452942,0.3974229395389557,0.20895031094551086,0.19778521358966827,0.29387086629867554,0.3378238379955292,0.23765113949775696,0.4726039469242096,0.50484299659729,0.3315640985965729,0.19551832973957062,0.4130953550338745
