,what,is,the,general,perception,of,non-mongolian,histories,of,genghis,khan,by,mongolians,themselves,?
unfairly,0.39937564730644226,0.2571916878223419,0.22801533341407776,0.17601600289344788,0.3449622690677643,0.22508147358894348,0.22154930233955383,0.23776212334632874,0.22508147358894348,0.19285838305950165,0.17308130860328674,0.3039509057998657,0.2755572497844696,0.2978537976741791,0.26594242453575134
biased,0.3875105381011963,0.22523710131645203,0.1836521029472351,0.143842875957489,0.3084462285041809,0.2010030746459961,0.1921408474445343,0.29107844829559326,0.2010030746459961,0.14832399785518646,0.15651580691337585,0.261999249458313,0.2085261195898056,0.32296013832092285,0.27561435103416443
against,0.24561616778373718,0.1754940152168274,0.3090755045413971,0.18349610269069672,0.20216982066631317,0.2669808566570282,0.15419210493564606,0.1991972178220749,0.2669808566570282,0.2344937026500702,0.10938236117362976,0.24816733598709106,0.20449939370155334,0.2692209780216217,0.18095137178897858
genghis,0.24369274079799652,0.1866190880537033,0.3448939025402069,0.22514775395393372,0.14070633053779602,0.2938849925994873,0.42219823598861694,0.25270992517471313,0.2938849925994873,1.0,0.5896923542022705,0.22102472186088562,0.4736461043357849,0.18597865104675293,0.18813461065292358
khan,0.16476042568683624,0.20103248953819275,0.21067845821380615,0.2096615880727768,0.07928454130887985,0.17124508321285248,0.4100185036659241,0.12693411111831665,0.17124508321285248,0.5896923542022705,1.0,0.13558374345302582,0.382771372795105,0.07202756404876709,0.12862591445446014
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.25860127806663513,0.2797497510910034,0.5116966962814331,0.2617548108100891,0.2818913757801056,0.5116966962814331,0.26551535725593567,0.22885166108608246,0.4289871156215668,0.2362065315246582,0.3146885335445404,0.20544172823429108
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2510950565338135,0.35168594121932983,0.41498205065727234,0.2950160503387451,0.29633772373199463,0.41498205065727234,0.21352417767047882,0.14077997207641602,0.37496164441108704,0.288248747587204,0.3640199303627014,0.32716336846351624
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.21327239274978638,0.22311049699783325,0.38364991545677185,0.10900035500526428,0.28522807359695435,0.38364991545677185,0.3744826912879944,0.26570460200309753,0.3107621967792511,0.15510468184947968,0.306706964969635,0.18075084686279297
butchery,0.18793952465057373,0.23886638879776,0.2526605725288391,0.05999482795596123,0.10492905229330063,0.20878839492797852,0.18274681270122528,0.08500443398952484,0.20878839492797852,0.26183414459228516,0.2284957319498062,0.21116307377815247,0.2426796853542328,0.24385036528110504,0.1409696638584137
is,0.28837618231773376,1.0,0.5823672413825989,0.20144300162792206,0.23651812970638275,0.4854315221309662,0.24835915863513947,0.1661849170923233,0.4854315221309662,0.1866190880537033,0.20103248953819275,0.3899846076965332,0.173089399933815,0.16502061486244202,0.22961433231830597
exaggerated,0.3414378762245178,0.18214763700962067,0.17648839950561523,0.0962490513920784,0.4224264323711395,0.21924903988838196,0.2013155072927475,0.26378539204597473,0.21924903988838196,0.19073306024074554,0.11700031906366348,0.18281704187393188,0.21832938492298126,0.23296120762825012,0.25770965218544006
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3022127151489258,0.23091760277748108,0.4946078956127167,0.2766948640346527,0.2815714478492737,0.4946078956127167,0.2891939878463745,0.19700400531291962,0.3680937886238098,0.23116454482078552,0.19974499940872192,0.31091248989105225
while,0.35511791706085205,0.2713196575641632,0.39804592728614807,0.19463972747325897,0.24134932458400726,0.3366928696632385,0.1940959244966507,0.18583643436431885,0.3366928696632385,0.17087101936340332,0.16199307143688202,0.3083919286727905,0.23566032946109772,0.3050056993961334,0.21076419949531555
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.21327239274978638,0.22311049699783325,0.38364991545677185,0.10900035500526428,0.28522807359695435,0.38364991545677185,0.3744826912879944,0.26570460200309753,0.3107621967792511,0.15510468184947968,0.306706964969635,0.18075084686279297
positive,0.2491111010313034,0.18898358941078186,0.20502062141895294,0.13728810846805573,0.3158286213874817,0.19149050116539001,0.10181692242622375,0.02667142078280449,0.19149050116539001,0.07723278552293777,0.0896039754152298,0.1920279860496521,0.08097586780786514,0.14214125275611877,0.16532565653324127
role,0.22614215314388275,0.20847192406654358,0.26607486605644226,0.17977549135684967,0.16428695619106293,0.1797693818807602,0.09890135377645493,0.18302251398563385,0.1797693818807602,0.14970549941062927,0.24882064759731293,0.20783835649490356,0.06701668351888657,0.11869244277477264,0.18676944077014923
is,0.28837618231773376,1.0,0.5823672413825989,0.20144300162792206,0.23651812970638275,0.4854315221309662,0.24835915863513947,0.1661849170923233,0.4854315221309662,0.1866190880537033,0.20103248953819275,0.3899846076965332,0.173089399933815,0.16502061486244202,0.22961433231830597
underrated,0.25513628125190735,0.3013429641723633,0.3342541754245758,0.19572699069976807,0.29172831773757935,0.31373029947280884,0.2640576958656311,0.2174374908208847,0.31373029947280884,0.16582728922367096,0.14936105906963348,0.3594330847263336,0.23939110338687897,0.26790931820869446,0.23358029127120972
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2929490804672241,0.22028912603855133,0.5352458953857422,0.23468974232673645,0.27800890803337097,0.5352458953857422,0.25373268127441406,0.19819748401641846,0.3936232924461365,0.1906452476978302,0.20394743978977203,0.4130953550338745
